ID,PBT_ALLOWED,PBT_PASSED,PBT_READING,PBT_TOLERANT
4902310,29000,true,23500,30450
4902311,16000,true,820,16800
4902313,16000,true,530,16800
4902314,16000,true,2330,16800
4902315,16000,true,600,16800
4902316,33000,true,13200,34650
4902317,16000,true,8200,16800
4902318,16000,true,1490,16800
4902319,16000,true,560,16800
4902320,16000,true,5800,16800
4902321,33000,true,11600,34650
4902324,26000,true,1270,27300
4902325,16000,true,2350,16800
4902326,33000,true,12900,34650
4902327,16000,true,10400,16800
4902328,16000,true,1450,16800
4902329,16000,true,1190,16800
4902330,16000,true,1270,16800
4902331,16000,true,830,16800
4902332,16000,true,1420,16800
4902335,16000,true,2030,16800
4902336,16000,true,1410,16800
4902337,16000,true,800,16800
4902338,16000,true,450,16800
4902339,23000,true,10400,24150
4902340,16000,true,890,16800
4902341,43000,true,16000,45150
4902342,16000,true,630,16800
4902343,16000,true,1390,16800
4902344,16000,true,820,16800
4902345,16000,true,1160,16800
4902346,16000,true,1230,16800
4902348,16000,true,1200,16800
4902349,16000,true,810,16800
4902352,16000,true,1780,16800
4902353,23000,true,20800,24150
4902354,16000,true,2710,16800
4902355,16000,true,520,16800
4902356,16000,true,940,16800
4902357,16000,true,1910,16800
4902358,16000,true,750,16800
4902359,16000,true,1770,16800
4902361,16000,true,1970,16800
4902364,16000,true,4110,16800
4902365,16000,true,1020,16800
4902366,16000,true,3560,16800
4902367,16000,true,3500,16800
4902368,16000,true,900,16800
4902369,16000,true,1480,16800
4902370,16000,true,580,16800
4902371,16000,true,360,16800
4902372,16000,true,2330,16800
4902374,33000,true,11300,34650
4902375,16000,true,650,16800
4902376,16000,true,2130,16800
4902377,16000,true,1530,16800
4902378,16000,true,730,16800
4902379,16000,true,730,16800
4902380,16000,true,860,16800
4902382,16000,true,7500,16800
4902383,16000,true,6100,16800
4902385,16000,true,460,16800
4902387,16000,true,1100,16800
4902388,16000,true,1130,16800
4902389,16000,true,1420,16800
4902390,26000,true,980,27300
4902391,16000,true,460,16800
4902394,16000,true,960,16800
4902395,16000,true,870,16800
4902396,16000,true,1750,16800
4902397,16000,true,2550,16800
4902398,16000,true,580,16800
4902400,16000,true,610,16800
4902401,16000,true,1160,16800
4902402,16000,true,3390,16800
4902403,16000,true,1560,16800
4902404,33000,true,10900,34650
4902406,16000,true,950,16800
4902407,57000,true,44900,59850
4902408,16000,true,990,16800
4902409,33000,true,12200,34650
4902410,33000,true,12000,34650
4902411,16000,true,1020,16800
4902412,16000,true,2630,16800
4902413,48000,true,34100,50400
4902414,26000,true,2220,27300
4902415,16000,true,960,16800
4902416,16000,true,1000,16800
4902417,23000,true,7200,24150
4902418,16000,true,1010,16800
4902421,16000,true,480,16800
4902423,16000,true,820,16800
4902424,16000,true,1690,16800
4902425,16000,true,540,16800
4902426,16000,true,1430,16800
4902427,16000,true,3900,16800
4902428,16000,true,7100,16800
4902429,16000,true,540,16800
4902432,16000,true,450,16800
4902434,16000,true,930,16800
4902435,23000,true,7400,24150
4902436,16000,true,860,16800
4902437,33000,true,10500,34650
4902438,16000,true,3180,16800
4902439,16000,true,790,16800
4902441,16000,true,1060,16800
4902442,16000,true,1390,16800
4902443,16000,true,1920,16800
4902444,16000,true,4800,16800
4902445,16000,true,1150,16800
4902446,16000,true,1650,16800
4902448,16000,true,1040,16800
4902449,48000,true,36300,50400
4902450,26000,true,1380,27300
4902451,57000,true,19300,59850
4902452,57000,true,36600,59850
4902453,16000,true,4170,16800
4902454,16000,true,1550,16800
4902455,16000,true,1090,16800
4902456,16000,true,1020,16800
4902457,16000,true,1170,16800
4902458,23000,true,6400,24150
4902459,43000,true,19500,45150
4902460,16000,true,1680,16800
4902461,16000,true,2240,16800
4902462,16000,true,1550,16800
4902463,16000,true,1970,16800
4902464,23000,true,7100,24150
4902465,23000,true,16100,24150
4902467,16000,true,850,16800
4902468,23000,true,16100,24150
4902469,16000,true,920,16800
4902470,16000,true,1150,16800
4902472,16000,true,2230,16800
4902474,16000,true,5400,16800
4902475,43000,true,18000,45150
4902476,48000,true,37300,50400
4902477,16000,true,800,16800
4902478,16000,true,1520,16800
4902479,23000,true,9700,24150
4902480,16000,true,6000,16800
4902481,16000,true,1070,16800
4902482,16000,true,1120,16800
4902487,16000,true,790,16800
4902489,16000,true,1130,16800
4902490,16000,true,800,16800
4902494,16000,true,6400,16800
4902495,16000,true,1910,16800
4902496,16000,true,13000,16800
4902498,16000,true,1830,16800
4902499,16000,true,840,16800
4902500,23000,true,13000,24150
4902501,23000,true,6700,24150
4902502,16000,true,1570,16800
4902503,16000,true,940,16800
4902505,33000,true,11300,34650
4902506,16000,true,1270,16800
4902507,33000,true,14000,34650
