TRUCK_ID,ALLOWED,PASSED,READING,TOLERANT
4901774,12000,true,7700,13500
4901774,17000,true,11100,19125
4901775,6000,true,3400,6750
4901775,10000,true,3600,11250
4901777,6000,true,500,6750
4901777,10000,true,320,11250
4901778,6000,true,1580,6750
4901778,10000,true,780,11250
4901779,6000,true,350,6750
4901779,10000,true,220,11250
4901780,6000,true,330,6750
4901780,10000,true,180,11250
4901781,6000,true,1600,6750
4901781,10000,true,2090,11250
4901782,6000,true,550,6750
4901782,10000,true,400,11250
4901786,6000,true,3200,6750
4901786,10000,true,3400,11250
4901787,6000,true,800,6750
4901787,10000,true,500,11250
4901792,6000,true,2500,6750
4901792,10000,true,2700,11250
4901793,6000,true,1500,6750
4901793,10000,true,1070,11250
4901794,6000,true,530,6750
4901794,10000,true,380,11250
4901795,6000,true,1470,6750
4901795,10000,true,1050,11250
4901797,6000,true,4200,6750
4901797,10000,true,4900,11250
4901799,6000,true,1220,6750
4901799,10000,true,1340,11250
4901801,6000,true,470,6750
4901801,10000,true,580,11250
4901803,6000,true,610,6750
4901803,10000,true,380,11250
4901804,6000,true,780,6750
4901804,10000,true,550,11250
4901805,6000,true,3800,6750
4901805,10000,true,6300,11250
4901806,6000,true,700,6750
4901806,10000,true,470,11250
4901807,6000,true,4000,6750
4901807,17000,true,9400,19125
4901808,6000,true,600,6750
4901808,10000,true,320,11250
4901810,6000,true,3900,6750
4901810,10000,true,5400,11250
4901810,10000,true,3800,11250
4901811,6000,true,3900,6750
4901811,17000,true,12300,19125
4901812,6000,true,690,6750
4901812,10000,true,470,11250
4901813,6000,true,440,6750
4901813,10000,true,260,11250
4901814,6000,true,350,6750
4901814,10000,true,150,11250
4901816,6000,true,2700,6750
4901816,17000,true,5100,19125
4901817,6000,true,410,6750
4901817,10000,true,280,11250
4901818,6000,true,390,6750
4901818,10000,true,320,11250
4901819,6000,true,2900,6750
4901819,10000,true,7800,11250
4901822,6000,true,6000,6750
4901822,10000,true,10300,11250
4901823,6000,true,2360,6750
4901823,10000,true,2380,11250
4901824,6000,true,570,6750
4901824,10000,true,470,11250
4901825,6000,true,3900,6750
4901825,10000,true,2600,11250
4901826,6000,true,560,6750
4901826,10000,true,380,11250
4901826,10000,true,70,11250
4901827,6000,true,3900,6750
4901827,10000,true,4200,11250
4901828,6000,true,1470,6750
4901828,10000,true,1050,11250
4901829,6000,true,520,6750
4901829,10000,true,410,11250
4901832,6000,true,4100,6750
4901832,10000,true,4800,11250
4901833,6000,true,1490,6750
4901833,10000,true,1320,11250
4901834,6000,true,370,6750
4901834,10000,true,200,11250
4901836,6000,true,3700,6750
4901836,10000,true,3700,11250
4901836,17000,true,6000,19125
4901837,6000,true,3500,6750
4901837,17000,true,10800,19125
4901837,17000,true,9600,19125
4901837,17000,true,11300,19125
4901838,6000,true,3900,6750
4901838,10000,true,3400,11250
4901838,17000,true,5600,19125
4901839,6000,true,3500,6750
4901839,10000,true,8500,11250
4901839,25000,true,19300,28125
4901840,6000,true,4700,6750
4901840,17000,true,10800,19125
4901841,6000,true,690,6750
4901841,10000,true,520,11250
4901843,6000,true,340,6750
4901843,10000,true,260,11250
4901844,6000,true,320,6750
4901844,10000,true,230,11250
4901845,6000,true,4000,6750
4901845,10000,true,4900,11250
4901847,6000,true,1370,6750
4901847,10000,true,940,11250
